#  Scan CV
#  Measurement Settings:
#  Power supply voltage limit:      2.10E+01 V
#  Power supply current limit:      5.00E-04 A
#  LCR measurement voltage:         5.00E-01 V
#  LCR measurement frequency:          1E+04 Hz
#  Voltage Delay:                      20.00 s
#  Channel Delay:                       0.20 s
#  Probecard temperature:               21.1 C
#  Switchcard temperature:              22.1 C
#  Switchcard measurement setting:  CV
#  Switchcard display setting:      OFF
# 
# 
#  Nominal Voltage [V]	 Measured Voltage [V]	Channel [-]	R [kOhm]	R_Err [kOhm]	X [kOhm]	X_Err [kOhm]	C [pF]	Total Current [A]
# 
1.00000E+00	1.00002E+00	1.10000E+02	1.51007E+04	0.00000E+00	-1.28115E+03	1.64268E-01	1.24229E+04	1.99714E-05
1.00000E+00	1.00001E+00	1.11000E+02	1.50837E+04	7.48331E-02	-1.26489E+03	1.57404E-01	1.25825E+04	1.99714E-05
1.00000E+00	1.00001E+00	1.12000E+02	1.51273E+04	8.00000E-02	-1.25717E+03	1.23386E-01	1.26598E+04	1.99714E-05
1.00000E+00	1.00002E+00	1.13000E+02	1.50569E+04	1.01980E-01	-1.23623E+03	7.05975E-02	1.28743E+04	1.99714E-05
1.00000E+00	1.00002E+00	1.14000E+02	1.50746E+04	1.01980E-01	-1.22903E+03	1.52499E-01	1.29497E+04	1.99715E-05
1.00000E+00	1.00001E+00	1.15000E+02	1.51006E+04	6.32456E-02	-1.26484E+03	6.18385E-02	1.25830E+04	1.99714E-05
1.00000E+00	1.00002E+00	1.16000E+02	1.50665E+04	4.89898E-02	-1.27467E+03	8.67179E-02	1.24860E+04	1.99714E-05
1.00000E+00	1.00001E+00	1.17000E+02	1.50611E+04	7.48331E-02	-1.27134E+03	8.28493E-02	1.25186E+04	1.99715E-05
1.00000E+00	1.00001E+00	1.18000E+02	1.50789E+04	6.32456E-02	-1.30976E+03	7.05408E-02	1.21515E+04	1.99715E-05
1.00000E+00	1.00001E+00	1.19000E+02	1.50932E+04	4.89898E-02	-1.27121E+03	1.10887E-01	1.25200E+04	1.99715E-05
1.00000E+00	1.00002E+00	1.20000E+02	1.50953E+04	7.48331E-02	-1.28667E+03	8.97998E-02	1.23695E+04	1.99714E-05
1.00000E+00	1.00002E+00	1.21000E+02	1.51045E+04	4.89898E-02	-1.25353E+03	1.13561E-01	1.26965E+04	1.99715E-05
1.00000E+00	1.00002E+00	1.22000E+02	1.50713E+04	8.00000E-02	-1.26717E+03	1.11463E-01	1.25599E+04	1.99715E-05
1.00000E+00	1.00002E+00	1.23000E+02	1.50825E+04	4.89898E-02	-1.25462E+03	1.41647E-01	1.26855E+04	1.99715E-05
1.00000E+00	1.00002E+00	1.24000E+02	1.51033E+04	7.48331E-02	-1.25554E+03	1.05527E-01	1.26762E+04	1.99715E-05
1.00000E+00	1.00002E+00	1.25000E+02	1.50595E+04	7.48331E-02	-1.24395E+03	1.02489E-01	1.27944E+04	1.99715E-05
1.00000E+00	1.00002E+00	1.26000E+02	1.50802E+04	1.01980E-01	-1.28204E+03	7.07107E-02	1.24142E+04	1.99715E-05
1.00000E+00	1.00002E+00	1.27000E+02	1.50518E+04	6.32456E-02	-1.24570E+03	1.30996E-01	1.27763E+04	1.99715E-05
1.00000E+00	1.00001E+00	1.28000E+02	1.50684E+04	4.89898E-02	-1.24812E+03	1.06283E-01	1.27516E+04	1.99715E-05
1.00000E+00	1.00001E+00	1.29000E+02	1.50627E+04	8.00000E-02	-1.23959E+03	1.57937E-01	1.28393E+04	1.99715E-05
1.00000E+00	1.00001E+00	1.30000E+02	1.50847E+04	4.89898E-02	-1.24071E+03	1.31240E-01	1.28277E+04	1.99715E-05
1.00000E+00	1.00001E+00	1.31000E+02	1.50677E+04	7.48331E-02	-1.25501E+03	4.40908E-02	1.26816E+04	1.99715E-05
1.00000E+00	1.00001E+00	1.32000E+02	1.50606E+04	7.48331E-02	-1.24862E+03	1.33026E-01	1.27465E+04	1.99715E-05
1.00000E+00	1.00002E+00	1.33000E+02	1.51526E+04	4.00000E-02	-1.25111E+03	4.02989E-02	1.27211E+04	1.99715E-05
1.00000E+00	1.00002E+00	1.34000E+02	1.50732E+04	4.00000E-02	-1.24100E+03	1.91896E-01	1.28247E+04	1.99716E-05
1.00000E+00	1.00002E+00	1.35000E+02	1.51053E+04	7.48331E-02	-1.25943E+03	7.00286E-02	1.26371E+04	1.99715E-05
1.00000E+00	1.00002E+00	1.36000E+02	4.10724E+03	3.54457E+00	-1.31964E+05	2.99333E+00	1.20605E+02	1.99718E-05
1.00000E+00	1.00002E+00	1.37000E+02	4.10728E+03	5.59680E+00	-1.31672E+05	2.19089E+00	1.20872E+02	1.99718E-05
1.00000E+00	1.00001E+00	1.38000E+02	4.15663E+03	6.76130E+00	-1.33977E+05	5.23068E+00	1.18793E+02	1.99717E-05
1.00000E+00	1.00002E+00	1.39000E+02	4.01762E+03	4.76794E+00	-1.23368E+05	3.76298E+00	1.29008E+02	1.99718E-05
1.00000E+00	1.00001E+00	1.40000E+02	4.06162E+03	4.00843E+00	-1.12627E+05	3.42929E+00	1.41312E+02	1.99718E-05
1.00000E+00	1.00001E+00	1.41000E+02	4.49012E+03	2.90598E+00	-9.59438E+04	9.76934E-01	1.65884E+02	1.99718E-05
1.00000E+00	1.00001E+00	1.42000E+02	5.75434E+03	1.24661E+00	-7.31621E+04	1.62308E+00	2.17538E+02	1.99718E-05
1.00000E+00	1.00001E+00	1.43000E+02	8.13170E+03	1.12358E+00	-4.94164E+04	7.33757E-01	3.22069E+02	1.99718E-05
1.00000E+00	1.00001E+00	1.44000E+02	8.87892E+03	6.60715E-01	-4.27790E+04	4.84149E-01	3.72040E+02	1.99718E-05
