#  Scan CV
#  Measurement Settings:
#  Power supply voltage limit:      2.10E+01 V
#  Power supply current limit:      5.00E-04 A
#  LCR measurement voltage:         5.01E-01 V
#  LCR measurement frequency:          1E+04 Hz
#  Voltage Delay:                      20.00 s
#  Channel Delay:                       0.20 s
#  Probecard temperature:               22.7 C
#  Switchcard temperature:              23.6 C
#  Switchcard measurement setting:  CV
#  Switchcard display setting:      OFF
# 
# 
#  Nominal Voltage [V]	 Measured Voltage [V]	Channel [-]	R [kOhm]	R_Err [kOhm]	X [kOhm]	X_Err [kOhm]	C [pF]	Total Current [A]
# 
2.50000E+01	2.49840E+01	1.40000E+01	7.07317E+03	9.36605E+00	-7.17441E+04	6.69854E+00	2.21837E+02	2.64384E-08
2.50000E+01	2.49845E+01	1.50000E+01	5.94887E+03	6.46159E+01	-9.57643E+04	9.17827E+01	1.66194E+02	2.83945E-08
2.50000E+01	2.49844E+01	1.60000E+01	5.69266E+03	5.28824E+01	-1.01314E+05	5.60785E+01	1.57091E+02	2.67475E-08
2.50000E+01	2.49842E+01	1.70000E+01	7.02790E+03	3.82331E+01	-7.06539E+04	2.32014E+01	2.25260E+02	1.87216E-08
2.50000E+01	2.49843E+01	1.80000E+01	6.93622E+03	5.99290E+01	-7.27816E+04	4.84773E+01	2.18675E+02	2.15773E-08
2.50000E+01	2.49843E+01	1.90000E+01	7.11738E+03	3.77305E+01	-7.15886E+04	5.69070E+01	2.22319E+02	2.59177E-08
2.50000E+01	2.49842E+01	2.00000E+01	7.21566E+03	4.80002E+01	-7.02340E+04	1.78354E+01	2.26607E+02	1.76936E-08
2.50000E+01	2.49843E+01	2.10000E+01	7.22098E+03	6.51398E+01	-7.34375E+04	2.56061E+01	2.16722E+02	2.59653E-08
2.50000E+01	2.49839E+01	2.20000E+01	7.18451E+03	3.32897E+01	-7.10635E+04	4.17590E+01	2.23962E+02	2.18023E-08
2.50000E+01	2.49840E+01	2.30000E+01	7.16100E+03	1.12883E+01	-7.06777E+04	4.26038E+01	2.25184E+02	2.88637E-08
2.50000E+01	2.49846E+01	2.40000E+01	7.08182E+03	3.88633E+01	-7.06982E+04	3.27673E+01	2.25119E+02	2.29730E-08
2.50000E+01	2.49842E+01	2.50000E+01	7.02908E+03	4.28863E+01	-7.03781E+04	6.41905E+01	2.26143E+02	1.91596E-08
2.50000E+01	2.49839E+01	2.60000E+01	5.61767E+03	8.16172E+01	-1.05027E+05	3.43337E+01	1.51537E+02	2.23427E-08
2.50000E+01	2.49842E+01	2.70000E+01	5.77872E+03	7.36405E+01	-1.01534E+05	5.91047E+01	1.56750E+02	1.89681E-08
2.50000E+01	2.49844E+01	2.80000E+01	7.04602E+03	3.97161E+01	-7.11456E+04	3.24258E+01	2.23703E+02	2.35047E-08
2.50000E+01	2.49839E+01	2.90000E+01	6.98353E+03	4.34370E+01	-7.11961E+04	3.32913E+01	2.23545E+02	2.65964E-08
2.50000E+01	2.49846E+01	3.00000E+01	7.07644E+03	3.14147E+01	-7.07606E+04	4.55522E+01	2.24920E+02	1.60041E-08
